id,upc,pop_name,character,franchise,number,variant,pop_style,raw_title,clean_title,needs_review
200d7acd-b1f9-445e-b3b0-3b7701aede14,889698862295,Adventures Of Superman 000 50,Adventures Of Superman 000 50,DC,50,null,Standard,Funko Pop Adventures of Superman 000 50 Vinyl Figure,Adventures of Superman 000 50,true
34fceed0-9d26-4b94-b576-f35a7bc2cbbf,846626014546,Asia Red Stan Lee Guan Yu RARE Mint,Asia Red Stan Lee Guan Yu RARE Mint,null,93,null,Standard,Funko Pop Asia Red Stan Lee Guan Yu #93 Convention Exclusive RARE Mint,Asia Red Stan Lee Guan Yu #93 Convention Exclusive RARE Mint,true
961cba0d-a1ad-4ec4-9477-42a544143091,849803053086,Bobblehead,Bobblehead,null,null,Chase,Jumbo,Funko Pop! Bobblehead,Bobblehead,true
97968dfb-fd96-437f-885d-ec9d76bee29b,889698881210,Brainiac Vinyl 2025 NYCC,Brainiac Vinyl 2025 NYCC,DC,2025,Metallic,Standard,Funko DC - Brainiac Pop! Vinyl 2025 NYCC Exclusive [RS],DC - Brainiac Vinyl 2025 NYCC Exclusive,true
c26585a3-4745-4e07-b0ee-d6ffb5f24bdb,889698530606,Coca-Cola Coke Bottle Cap,Coca-Cola Coke Bottle Cap,null,null,null,Standard,Funko Coca-Cola Coke Bottle Cap Pop! Vinyl Figure,Coca-Cola Coke Bottle Cap,true
5f255c5d-ba6b-431f-b07b-059433e7c4ab,889698855532,Digital Disney Afternoon Flintheart Glomgold **See Photos,Digital Disney Afternoon Flintheart Glomgold **See Photos,null,313,null,Standard,Funko Pop Digital Disney Afternoon Flintheart Glomgold #313 **See Photos,Digital Disney Afternoon Flintheart Glomgold #313 **See Photos,true
35e9a487-0aef-412a-a97f-3031cea64ec5,889698293754,Disney Aladdin Aladdin's First Wish,Disney Aladdin Aladdin's First Wish,null,409,null,Standard,Funko Pop Disney Aladdin Aladdin's First Wish #409 Vinyl Figure,Disney Aladdin Aladdin's First Wish #409,true
41c6581e-9301-4d24-a56c-69164ebc6ab4,849803097455,Doctor Strange Karl Mordo Vinyl Bobble Head,Doctor Strange Karl Mordo Vinyl Bobble Head,Marvel,170,null,Standard,Funko Doctor Strange POP! Marvel Karl Mordo Vinyl Bobble Head #170,Doctor Strange Marvel Karl Mordo Vinyl Bobble Head #170,true
69d86a97-16f6-44f1-97d7-c400958d28d7,849803097448,Doctor Strange Vinyl Bobble-head N° 169,Doctor Strange Vinyl Bobble-head N° 169,Marvel,169,null,Standard,Funko Doctor Strange Pop! Marvel Movies Vinyl Bobble-head Figure N° 169,Doctor Strange Marvel Movies Vinyl Bobble-head N° 169,true
6ff02130-197a-4057-85b0-c12df992d4e6,889698609944,Figures NSYNC,Figures NSYNC,*NSYNC,1997,null,Deluxe,Funko POP Figures Album Deluxe NSYNC Exclusive,Figures Album Deluxe NSYNC Exclusive,true
2b0ff31e-15b7-478b-8328-cc5918fb1be5,889698513999,Flanders Devil Glow US Vinyl,Flanders Devil Glow US Vinyl,The Simpsons,null,null,Standard,The Simpsons Flanders Devil Glow US Exclusive Pop! Vinyl,The Simpsons Flanders Devil Glow US Exclusive Vinyl,true
b9d70bb0-ee9a-4e1d-93d5-cb351d95b73b,889698901673,Franny SE,Franny SE,null,null,null,Standard,Funko Pop Franny SE Vinyl Figure,Franny SE,true
8670ee2e-542e-4027-9942-34b16004a2f6,889698845786,Freddy As Locutus Of Borg,Freddy As Locutus Of Borg,null,null,null,Standard,Funko Freddy As Locutus Of Borg,Freddy As Locutus Of Borg,true
7106e6de-e7e9-41cc-a55e-57feb2c221e7,849803049997,Frozen Olaf Pocket Vinyl,Frozen Olaf Pocket Vinyl,null,null,null,Keychain,Funko Frozen Olaf Pocket Pop! Vinyl,Frozen Olaf Pocket Vinyl,true
1586f9ed-08ba-4c07-ae22-a4695e57bd6b,889698648080,Glow In The Dark,Glow In The Dark,null,1046,Glow in the Dark,Standard,Funko 1046 Mighty Thor - Glow In The Dark,1046 Mighty Thor - Glow In The Dark,true
025743e7-8873-4eba-91c2-162e8b775065,849803051044,Guardians Of Galaxy Dancing Groot Vinyl Bobble,Guardians Of Galaxy Dancing Groot Vinyl Bobble,Marvel,null,null,Standard,Funko Pop! Marvel Guardians Of Galaxy Dancing Groot Vinyl Bobble Figure,Marvel Guardians Of Galaxy Dancing Groot Vinyl Bobble,true
ffa0f995-68e0-47fb-b450-6013f22c75eb,889698475280,Guardians Of The Galaxy Groot Wood Deco,Guardians Of The Galaxy Groot Wood Deco,null,null,null,Standard,Funko Guardians Of The Galaxy Groot Wood Deco Pop! Vinyl Figure,Guardians Of The Galaxy Groot Wood Deco,true
d8c4e039-0950-4074-9580-8f2c853ddf82,849803037925,Guardians Of The Galaxy Rocket Raccoon,Guardians Of The Galaxy Rocket Raccoon,null,48,null,Standard,Funko Guardians Of The Galaxy Rocket Raccoon Pop! Vinyl Figure,Guardians Of The Galaxy Rocket Raccoon,true
