id,upc,pop_name,character,franchise,number,variant,pop_style,estimated_value,api_source,raw_title,clean_title,needs_review
4e9eecfd-3da8-48a5-b526-fa96fd3ee507,889698585934,2021,2021,DC,2021,null,Standard,14.88,go-upc+barcodelookup_value,Funko Superman Blue Pop! Vinyl Figure - 2021 Convention Exclusive,Superman Blue - 2021 Convention Exclusive,false
24c89b98-c22f-452d-8f57-6ca2046e41c6,889698529631,6,6,The Simpsons,6,null,Standard,14.99,barcodelookup,Pop 6,6,false
918c9ee6-cb5d-4340-8a67-780e570d7fd1,889698101837,Bobble Doctor Strange Kaecilius,Bobble Doctor Strange Kaecilius,Marvel,null,null,Standard,8.99,go-upc+barcodelookup_value,Funko POP! Bobble Figure Marvel Doctor Strange Kaecilius,Bobble Marvel Doctor Strange Kaecilius,false
16048e3c-183a-4c78-92b8-d5191b2d88ea,889698648059,"Bobble-Head 6"" Hall Of Armor Iron Man Model 11 War Machine PX Previews","Bobble-Head 6"" Hall Of Armor Iron Man Model 11 War Machine PX Previews",Marvel,1037,null,Deluxe,11.48,go-upc+barcodelookup_value,"Funko Pop! Marvel Bobble-Head 6"" Hall Of Armor Iron Man Model 11 War Machine #1037 PX Previews Exclusive","Marvel Bobble-Head 6"" Hall Of Armor Iron Man Model 11 War Machine #1037 PX Previews Exclusive",false
961cba0d-a1ad-4ec4-9477-42a544143091,849803053086,Bobblehead,Bobblehead,null,null,Chase,Jumbo,8.95,barcodelookup,Funko Pop! Bobblehead,Bobblehead,true
061cc154-fbdd-4b39-b633-710959fd3bd0,889698888165,Figurine Heroes Superman,Figurine Heroes Superman,DC,10,null,Standard,39.99,go-upc+barcodelookup_value,Funko Figurine Pop Heroes Superman,Figurine Heroes Superman,false
eca32bb5-2f3b-4c42-b2f3-40a1722fa4fb,889698807623,Figurine Superman The 1978,Figurine Superman The 1978,DC,1978,null,Deluxe,28.79,go-upc+barcodelookup_value,Funko Figurine Pop Deluxe Superman The Movie 1978,Figurine Deluxe Superman The Movie 1978,false
0b64ea3a-48d0-4a33-9f79-693207244dbe,889698785396,Figurine Wolverine,Figurine Wolverine,Marvel,1376,null,Standard,20.46,go-upc+barcodelookup_value,Funko Figurine Pop Marvel Comics #1376 Wolverine,Figurine Marvel Comics #1376 Wolverine,false
b9d70bb0-ee9a-4e1d-93d5-cb351d95b73b,889698901673,Franny SE,Franny SE,null,null,null,Standard,20.19,go-upc+barcodelookup_value,Funko Pop Franny SE Vinyl Figure,Franny SE,true
6e63b1f9-d6f6-4eae-a1c3-435ebcc45191,889698111508,Preacher Jesse Custer (Arms Out),Preacher Jesse Custer (Arms Out),Grappig,null,null,Standard,27.02,barcodelookup,Preacher Funko POP! Television Jesse Custer Vinyl Figure (Arms Out),Preacher Television Jesse Custer (Arms Out),false
f5adf1a5-0ab9-46b3-bbc0-e6498bf44209,889698406055,Stan Lee (Security Guard),Stan Lee (Security Guard),Pop!,null,null,Standard,null,go-upc,Pop! Stan Lee (Security Guard),Stan Lee (Security Guard),false
b26bd048-f806-4714-b878-753eb5294876,849803047801,Thor Bobble,Thor Bobble,Marvel,null,null,Standard,8.95,go-upc+barcodelookup_value,Funko Pop! Marvel - Avengers 2 Age Of Ultron - Thor Bobble Figure,Marvel - Avengers 2 Age Of Ultron - Thor Bobble,false
726afe3f-484a-449b-9d6d-15e1d2133741,889698717465,Trigon 2023 Summer,Trigon 2023 Summer,Justice League,71746,null,Standard,19.99,barcodelookup,Funko 71746 Justice League Trigon Pop! 2023 Summer Convention,71746 Justice League Trigon 2023 Summer Convention,false
874c1494-3127-4b05-8a89-86d015f78f07,889698870757,Vault Boy W/CHASE,Vault Boy W/CHASE,Fallout,null,Chase,Standard,13.52,barcodelookup,POP TV: Fallout – Vault Boy W/CHASE,TV: Fallout – Vault Boy W/CHASE,false
