upc,pop_name,character,franchise,number,variant,pop_style,raw_title,needs_review
849803053086,Bobblehead,Bobblehead,null,null,Chase,Jumbo,Funko Pop! Bobblehead,true
889698901673,Franny SE,Franny SE,null,null,null,Standard,Funko Pop Franny SE Vinyl Figure,true
889698624268,Thor 4: Love And Thunder Miek Vinyl,Thor 4: Love And Thunder Miek Vinyl,Marvel,null,null,Standard,Funko Marvel Thor 4: Love And Thunder Miek POP! Vinyl,true
889698624220,Thor: Love And Thunder Vinyl Bobble-Head Mighty Thor,Thor: Love And Thunder Vinyl Bobble-Head Mighty Thor,Marvel,1041,null,Standard,Funko Pop! Marvel Thor: Love And Thunder Vinyl Bobble-Head Mighty Thor #1041,true
889698650120,Thor: Love And Thunder Vinyl Mighty Thor 9cm Figurine,Thor: Love And Thunder Vinyl Mighty Thor 9cm Figurine,Marvel,null,null,Standard,Funko Thor: Love And Thunder POP! Marvel Vinyl Mighty Thor 9cm Figurine,true
849803056063,Ultron Grinning,Ultron Grinning,null,83,null,Standard,Funko 83 Ultron Grinning,true
889698642088,Vinyl,Vinyl,Marvel,1188,null,Standard,Funko TOYS Thor Love And Thunder - Gorr’s Daughter - Pop Vinyl,true
889698292016,Violet,Violet,null,null,null,Standard,Funko Pop! Disney - Incredibles 2 - Violet Vinyl Figure,true
889698252034,Walking Dead Richard (Other),Walking Dead Richard (Other),null,null,null,Standard,Pop Walking Dead Richard Vinyl Figure (Other),true
849803068776,Woody,Woody,null,null,null,Standard,Funko POP! Disney Toy Story - Woody Figure,true
889698907927,X-Men '97 Vinyl Figur Cable (X-Corp) 9cm (1594),X-Men '97 Vinyl Figur Cable (X-Corp) 9cm (1594),Marvel,97,null,Standard,Funko Marvel X-Men '97 POP! Vinyl Figur Cable (X-Corp) 9cm (1594),true
