table_schema,table_name,column_name,data_type,udt_name,is_nullable,column_default,ordinal_position
public,dashboard_home_view,user_id,uuid,uuid,YES,null,1
public,dashboard_home_view,display_name,text,text,YES,null,2
public,dashboard_home_view,greeting_text,text,text,YES,null,3
public,dashboard_home_view,insight_text,text,text,YES,null,4
public,dashboard_home_view,unique_items,bigint,int8,YES,null,5
public,dashboard_home_view,total_pops,bigint,int8,YES,null,6
public,dashboard_home_view,total_collection_value,numeric,numeric,YES,null,7
public,dashboard_home_view,total_paid,numeric,numeric,YES,null,8
public,dashboard_home_view,gain_loss,numeric,numeric,YES,null,9
public,dashboard_home_view,gain_loss_percent,numeric,numeric,YES,null,10
public,dashboard_home_view,wishlist_count,integer,int4,YES,null,11
public,dashboard_home_view,pops_added_this_month,integer,int4,YES,null,12
public,dashboard_home_view,baseline_snapshot_date,date,date,YES,null,13
public,dashboard_home_view,baseline_collection_value,numeric,numeric,YES,null,14
public,dashboard_home_view,monthly_value_change,numeric,numeric,YES,null,15
public,dashboard_home_view,monthly_value_change_percent,numeric,numeric,YES,null,16
public,dashboard_home_view,generated_date,date,date,YES,null,17
public,dashboard_snapshots,id,uuid,uuid,NO,gen_random_uuid(),1
public,dashboard_snapshots,user_id,uuid,uuid,NO,null,2
public,dashboard_snapshots,snapshot_date,date,date,NO,CURRENT_DATE,3
public,dashboard_snapshots,total_collection_value,numeric,numeric,NO,0,4
public,dashboard_snapshots,total_paid,numeric,numeric,NO,0,5
public,dashboard_snapshots,total_pops,integer,int4,NO,0,6
public,dashboard_snapshots,gain_loss,numeric,numeric,NO,0,7
public,dashboard_snapshots,wishlist_count,integer,int4,NO,0,8
public,dashboard_snapshots,created_at,timestamp with time zone,timestamptz,NO,now(),9
public,pop_catalog,created_at,timestamp with time zone,timestamptz,NO,now(),2
public,pop_catalog,uuid,uuid,uuid,NO,gen_random_uuid(),3
public,pop_catalog,upc,text,text,YES,null,4
public,pop_catalog,pop_name,text,text,YES,null,5
public,pop_catalog,character,text,text,YES,null,6
public,pop_catalog,franchise,text,text,YES,null,7
public,pop_catalog,number,text,text,YES,null,8
public,pop_catalog,variant,text,text,YES,null,9
public,pop_catalog,exclusivity,text,text,YES,null,10
public,pop_catalog,pop_type,text,text,YES,null,11
public,pop_catalog,set_name,text,text,YES,null,12
public,pop_catalog,set_total,bigint,int8,YES,null,13
public,pop_catalog,image_url,text,text,YES,null,14
public,pop_catalog,vault_status,text,text,YES,null,15
public,pop_catalog,estimated_value,numeric,numeric,YES,null,16
public,pop_catalog,id,uuid,uuid,NO,gen_random_uuid(),17
public,pop_catalog,api_source,text,text,YES,null,18
public,pop_catalog,api_last_updated,timestamp with time zone,timestamptz,YES,null,19
public,pop_catalog,raw_api_json,jsonb,jsonb,YES,null,20
public,pop_catalog,pop_style,text,text,YES,null,22
public,pop_catalog,raw_title,text,text,YES,null,23
public,pop_catalog,clean_title,text,text,YES,null,24
public,pop_catalog,parse_confidence,numeric,numeric,YES,null,25
public,pop_catalog,needs_review,boolean,bool,YES,false,26
public,pop_catalog,image_source,text,text,YES,null,27
public,pop_catalog,image_last_checked,timestamp with time zone,timestamptz,YES,null,28
public,profiles,id,uuid,uuid,NO,null,1
public,profiles,username,text,text,NO,null,2
public,profiles,display_name,text,text,YES,null,3
public,profiles,avatar_url,text,text,YES,null,4
public,profiles,bio,text,text,YES,null,5
public,profiles,is_public,boolean,bool,YES,true,6
public,profiles,created_at,timestamp with time zone,timestamptz,YES,now(),7
public,user_collection_items,created_at,timestamp with time zone,timestamptz,NO,now(),2
public,user_collection_items,user_id,uuid,uuid,YES,null,3
public,user_collection_items,pop_catalog_id,uuid,uuid,YES,null,4
public,user_collection_items,quantity,bigint,int8,YES,'1'::bigint,5
public,user_collection_items,condition,text,text,YES,null,6
public,user_collection_items,box_condition,text,text,YES,null,7
public,user_collection_items,purchase_price,numeric,numeric,YES,null,8
public,user_collection_items,current_value,numeric,numeric,YES,null,9
public,user_collection_items,notes,text,text,YES,null,10
public,user_collection_items,for_trade,boolean,bool,YES,false,11
public,user_collection_items,for_sale,boolean,bool,YES,false,12
public,user_collection_items,visibility,text,text,YES,'''private'''::text,13
public,user_collection_items,acquired_date,date,date,YES,null,14
public,user_collection_items,id,uuid,uuid,NO,gen_random_uuid(),15
public,user_collection_items,owned_variant,text,text,YES,null,16
public,user_collection_summary_view,user_id,uuid,uuid,YES,null,1
public,user_collection_summary_view,unique_items,bigint,int8,YES,null,2
public,user_collection_summary_view,total_quantity,numeric,numeric,YES,null,3
public,user_collection_summary_view,total_collection_value,numeric,numeric,YES,null,4
public,user_collection_summary_view,total_purchase_cost,numeric,numeric,YES,null,5
public,user_collection_summary_view,total_gain_loss,numeric,numeric,YES,null,6
public,user_collection_view,collection_item_id,uuid,uuid,YES,null,1
public,user_collection_view,user_id,uuid,uuid,YES,null,2
public,user_collection_view,pop_catalog_id,uuid,uuid,YES,null,3
public,user_collection_view,quantity,bigint,int8,YES,null,4
public,user_collection_view,condition,text,text,YES,null,5
public,user_collection_view,box_condition,text,text,YES,null,6
public,user_collection_view,purchase_price,numeric,numeric,YES,null,7
public,user_collection_view,current_value,numeric,numeric,YES,null,8
public,user_collection_view,notes,text,text,YES,null,9
public,user_collection_view,for_trade,boolean,bool,YES,null,10
public,user_collection_view,for_sale,boolean,bool,YES,null,11
public,user_collection_view,visibility,text,text,YES,null,12
public,user_collection_view,acquired_date,date,date,YES,null,13
public,user_collection_view,created_at,timestamp with time zone,timestamptz,YES,null,14
public,user_collection_view,upc,text,text,YES,null,15
public,user_collection_view,pop_name,text,text,YES,null,16
public,user_collection_view,character,text,text,YES,null,17
public,user_collection_view,franchise,text,text,YES,null,18
public,user_collection_view,number,text,text,YES,null,19
public,user_collection_view,variant,text,text,YES,null,20
